,time (sec),time since last (sec),mean update period:,mean update freq (Hz):
1372169743,4.460000038,0.029999971,,
1372169743,4.470000029,0.00999999,,
1372169743,4.49000001,0.019999981,,
1372169743,4.510000229,0.020000219,,
1372169743,4.53000021,0.019999981,,
1372169743,4.550000191,0.019999981,,
1372169743,4.570000172,0.019999981,,
1372169743,4.600000143,0.029999971,,
1372169743,4.660000086,0.059999943,,
1372169743,4.670000076,0.00999999,,
1372169743,4.670000076,0,,
1372169743,4.680000067,0.00999999,,
1372169743,4.690000057,0.00999999,,
1372169743,4.710000038,0.019999981,,
1372169743,4.730000019,0.019999981,,
1372169743,4.760000229,0.03000021,,
1372169743,4.770000219,0.00999999,,
1372169743,4.800000191,0.029999971,,
1372169743,4.810000181,0.00999999,,
1372169743,4.830000162,0.019999981,,
1372169743,4.850000143,0.019999981,,
1372169743,4.930000067,0.079999924,,
1372169743,4.930000067,0,,
1372169743,4.940000057,0.00999999,,
1372169743,4.940000057,0,,
1372169743,4.950000048,0.00999999,,
1372169743,4.970000029,0.019999981,,
1372169743,4.99000001,0.019999981,,
1372169743,5.010000229,0.020000219,,
1372169743,5.03000021,0.019999981,,
1372169743,5.050000191,0.019999981,,
1372169743,5.070000172,0.019999981,,
1372169743,5.090000153,0.019999981,,
1372169743,5.110000134,0.019999981,,
1372169744,5.170000076,0.059999943,,
1372169744,5.170000076,0,,
1372169744,5.180000067,0.00999999,,
1372169744,5.190000057,0.00999999,,
1372169744,5.210000038,0.019999981,,
1372169744,5.230000019,0.019999981,,
1372169744,5.25,0.019999981,,
1372169744,5.270000219,0.020000219,,
1372169744,5.2900002,0.019999981,,
1372169744,5.310000181,0.019999981,,
1372169744,5.330000162,0.019999981,,
1372169744,5.350000143,0.019999981,,
1372169744,5.370000124,0.019999981,,
1372169744,5.450000048,0.079999924,,
1372169744,5.460000038,0.00999999,,
1372169744,5.460000038,0,,
1372169744,5.470000029,0.00999999,,
1372169744,5.470000029,0,,
1372169744,5.5,0.029999971,,
1372169744,5.510000229,0.010000229,,
1372169744,5.53000021,0.019999981,,
1372169744,5.550000191,0.019999981,,
1372169744,5.570000172,0.019999981,,
1372169744,5.590000153,0.019999981,,
1372169744,5.610000134,0.019999981,,
1372169744,5.640000105,0.029999971,,
1372169744,5.700000048,0.059999943,,
1372169744,5.700000048,0,,
1372169744,5.710000038,0.00999999,,
1372169744,5.710000038,0,,
1372169744,5.730000019,0.019999981,,
1372169744,5.75,0.019999981,,
1372169744,5.770000219,0.020000219,,
1372169744,5.7900002,0.019999981,,
1372169744,5.810000181,0.019999981,,
1372169744,5.830000162,0.019999981,,
1372169744,5.850000143,0.019999981,,
1372169744,5.870000124,0.019999981,,
1372169744,5.890000105,0.019999981,,
1372169744,5.950000048,0.059999943,,
1372169744,5.950000048,0,,
1372169744,5.960000038,0.00999999,,
1372169744,5.970000029,0.00999999,,
1372169744,5.99000001,0.019999981,,
1372169744,6.010000229,0.020000219,,
1372169744,6.03000021,0.019999981,,
1372169744,6.050000191,0.019999981,,
1372169744,6.070000172,0.019999981,,
1372169744,6.090000153,0.019999981,,
1372169744,6.110000134,0.019999981,,
1372169745,6.130000114,0.019999981,,
1372169745,6.150000095,0.019999981,,
1372169745,6.210000038,0.059999943,,
1372169745,6.210000038,0,,
1372169745,6.210000038,0,,
1372169745,6.230000019,0.019999981,,
1372169745,6.25,0.019999981,,
1372169745,6.270000219,0.020000219,,
1372169745,6.2900002,0.019999981,,
1372169745,6.310000181,0.019999981,,
1372169745,6.330000162,0.019999981,,
1372169745,6.350000143,0.019999981,,
1372169745,6.370000124,0.019999981,,
1372169745,6.390000105,0.019999981,,
1372169745,6.410000086,0.019999981,,
1372169745,6.460000038,0.049999952,,
1372169745,6.470000029,0.00999999,,
1372169745,6.470000029,0,,
1372169745,6.49000001,0.019999981,,
1372169745,6.510000229,0.020000219,,
1372169745,6.53000021,0.019999981,,
1372169745,6.550000191,0.019999981,,
1372169745,6.570000172,0.019999981,,
1372169745,6.590000153,0.019999981,,
1372169745,6.610000134,0.019999981,,
1372169745,6.630000114,0.019999981,,
1372169745,6.650000095,0.019999981,,
1372169745,6.670000076,0.019999981,,
1372169745,6.74000001,0.069999933,,
1372169745,6.75,0.00999999,,
1372169745,6.75,0,,
1372169745,6.75,0,,
1372169745,6.770000219,0.020000219,,
1372169745,6.7900002,0.019999981,,
1372169745,6.810000181,0.019999981,,
1372169745,6.830000162,0.019999981,,
1372169745,6.850000143,0.019999981,,
1372169745,6.870000124,0.019999981,,
1372169745,6.890000105,0.019999981,,
1372169745,6.910000086,0.019999981,,
1372169745,6.930000067,0.019999981,,
1372169745,6.980000019,0.049999952,,
1372169745,6.99000001,0.00999999,,
1372169745,6.99000001,0,,
1372169745,7.010000229,0.020000219,,
1372169745,7.03000021,0.019999981,,
1372169745,7.050000191,0.019999981,,
1372169745,7.070000172,0.019999981,,
1372169745,7.090000153,0.019999981,,
1372169745,7.110000134,0.019999981,,
1372169746,7.130000114,0.019999981,,
1372169746,7.150000095,0.019999981,,
1372169746,7.170000076,0.019999981,,
1372169746,7.190000057,0.019999981,,
1372169746,7.270000219,0.080000162,,
1372169746,7.270000219,0,,
1372169746,7.28000021,0.00999999,,
1372169746,7.28000021,0,,
1372169746,7.2900002,0.00999999,,
1372169746,7.310000181,0.019999981,,
1372169746,7.330000162,0.019999981,,
1372169746,7.350000143,0.019999981,,
1372169746,7.370000124,0.019999981,,
1372169746,7.390000105,0.019999981,,
1372169746,7.410000086,0.019999981,,
1372169746,7.430000067,0.019999981,,
1372169746,7.450000048,0.019999981,,
1372169746,7.5,0.049999952,,
1372169746,7.5,0,,
1372169746,7.510000229,0.010000229,,
1372169746,7.53000021,0.019999981,,
1372169746,7.550000191,0.019999981,,
1372169746,7.570000172,0.019999981,,
1372169746,7.590000153,0.019999981,,
1372169746,7.610000134,0.019999981,,
1372169746,7.630000114,0.019999981,,
