Time (s),elevator,throttle,aileron,rudder,pitch(rad),arspd(m/s?),bank(rad),gps hdg(deg),ahrs hdg(rad)
15.3174026308,800,65,800,-118,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.3222613489,700,65,700,-114,0.00419131666422,0.627154946327,-0.000274602731224,0,-0.0432173870504
15.5813775214,500,0,500,-105,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.5859392744,400,65,400,-100,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.5909019163,300,65,300,-94,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.5956751487,200,65,200,-89,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.6007193652,100,65,100,-83,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.6058350992,0,65,0,-78,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.6103677981,-100,65,-100,-74,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.61522484,-200,65,-200,-69,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.6201452978,-300,65,-300,-65,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.6252026445,-400,65,-400,-60,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.6299957117,-500,65,-500,-57,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.634829287,-600,65,-600,-53,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.6397106336,-700,65,-700,-49,0.00765474373475,0.420147001743,0.000417733506765,0,-0.0455208867788
15.8144711129,-900,0,-900,-43,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8193572088,-1000,65,-1000,-40,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8246405619,-1100,65,-1100,-38,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8291506323,-1200,65,-1200,-36,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8340001313,-1300,65,-1300,-34,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8625515254,-1400,65,-1400,-32,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8672258625,-1500,65,-1500,-32,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.872070333,-1600,65,-1600,-31,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8773578765,-1700,65,-1700,-30,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8818296739,-1800,65,-1800,-30,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8866668808,-1900,65,-1900,-30,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8916381831,-2000,65,-2000,-30,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
15.8967636948,-2100,65,-2100,-30,0.0217913705856,0.850845336914,-0.0190534591675,0,-0.0461967363954
16.1260433938,-2300,0,-2300,-33,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1357490966,-2400,65,-2400,-34,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1408762846,-2500,65,-2500,-35,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1455659867,-2600,65,-2600,-37,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1504532001,-2700,65,-2700,-39,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1553446039,-2800,65,-2800,-41,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1605530871,-2900,65,-2900,-43,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1650072844,-3000,65,-3000,-46,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1699215962,-3100,65,-3100,-48,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1748546254,-3200,65,-3200,-51,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1796999339,-3300,65,-3300,-53,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1845728996,-3400,65,-3400,-56,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.1898755289,-3500,65,-3500,-58,0.0105253532529,0.291839927435,-0.0222390387207,0,-0.0463620312512
16.3415149132,-3700,0,-3700,-65,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.3454042343,-3800,65,-3800,-67,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.3497913841,-3900,65,-3900,-70,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.3545685276,-4000,65,-4000,-73,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.3635478811,-4100,65,-4100,-76,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.3681364531,-4200,65,-4200,-78,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.3733007966,-4300,65,-4300,-80,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.3780902321,-4400,65,-4400,-82,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.4317269374,-4500,65,-4500,-84,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.4365934777,-4600,65,-4600,-86,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.4416396497,-4700,65,-4700,-86,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.4463047678,-4800,65,-4800,-88,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.4511953335,-4900,65,-4900,-88,0.0259827338159,0.262760341167,-0.0115427486598,0,-0.0464628823102
16.5939782849,-5100,0,-5100,-87,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.5987484443,-5200,65,-5200,-87,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.6194245358,-5300,65,-5300,-86,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.624040765,-5400,65,-5400,-85,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.6291548227,-5500,65,-5500,-84,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.63394789,-5600,65,-5600,-82,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.6386627351,-5700,65,-5700,-80,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.643649123,-5800,65,-5800,-79,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.6485762855,-5900,65,-5900,-77,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.6530690353,-6000,65,-6000,-75,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.656875385,-6100,65,-6100,-73,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.6611262046,-6200,65,-6200,-72,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.6660491766,-6300,65,-6300,-70,0.0250038281083,0.689455330372,-0.00292592681944,0,-0.0466383621097
16.8420262911,-6500,0,-6500,-67,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.8468146091,-6600,65,-6600,-66,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.853687829,-6700,65,-6700,-65,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.8585107884,-6800,65,-6800,-64,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.8632591572,-6900,65,-6900,-63,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.868631069,-7000,65,-7000,-62,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.8727343838,-7100,65,-7100,-62,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.8766745494,-7200,65,-7200,-61,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.8810206325,-7300,65,-7300,-61,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.9005926731,-7400,65,-7400,-60,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.9055807372,-7500,65,-7500,-61,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.9101167886,-7600,65,-7600,-61,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
16.9151258051,-7700,65,-7700,-61,0.00245775678195,0.968043982983,-0.00873074866831,0,-0.0468326695263
17.1781433115,-7900,0,-7900,-62,-0.0187595654279,1.94853436947,-0.0102192731574,0,-0.0469339489937
17.1826547787,-8000,65,-8000,-63,-0.0187595654279,1.94853436947,-0.0102192731574,0,-0.0469339489937
17.2055012578,-8100,65,-8100,-64,-0.0187595654279,1.94853436947,-0.0102192731574,0,-0.0469339489937
17.2100250171,-8200,65,-8200,-65,-0.0187595654279,1.94853436947,-0.0102192731574,0,-0.0469339489937
17.2148859701,-8300,65,-8300,-66,-0.0187595654279,1.94853436947,-0.0102192731574,0,-0.0469339489937
